iter	Passed	Remaining
271	1562	4182
272	1567	4173
273	1573	4169
274	1578	4160
275	1581	4149
276	1586	4139
277	1590	4132
278	1595	4121
279	1598	4111
280	1603	4103
281	1608	4095
282	1612	4085
283	1616	4075
284	1623	4073
285	1627	4062
286	1631	4052
287	1634	4041
288	1640	4036
289	1644	4026
290	1649	4017
291	1654	4011
292	1658	4001
293	1662	3991
294	1666	3981
295	1670	3973
296	1674	3964
297	1678	3954
298	1682	3944
299	1688	3939
300	1692	3929
301	1695	3918
302	1700	3910
303	1706	3908
304	1710	3898
305	1716	3893
306	1724	3893
307	1730	3888
308	1737	3884
309	1741	3876
310	1745	3867
311	1750	3860
312	1754	3852
313	1758	3841
314	1762	3831
315	1767	3826
316	1772	3818
317	1776	3809
318	1781	3803
319	1786	3796
320	1790	3787
321	1794	3779
322	1801	3775
323	1805	3766
324	1809	3758
325	1814	3752
326	1822	3750
327	1825	3740
328	1830	3732
329	1834	3725
330	1838	3715
331	1842	3706
332	1847	3700
333	1852	3693
334	1855	3684
335	1859	3675
336	1866	3671
337	1870	3663
338	1873	3653
339	1877	3644
340	1882	3638
341	1886	3629
342	1889	3620
343	1895	3614
344	1900	3607
345	1903	3598
346	1908	3590
347	1917	3592
348	1921	3583
349	1924	3574
350	1930	3569
351	1934	3560
352	1937	3551
353	1941	3542
354	1945	3535
355	1949	3525
356	1952	3516
357	1955	3507
358	1964	3506
359	1967	3498
360	1971	3489
361	1976	3484
362	1981	3476
363	1984	3467
364	1988	3459
365	1993	3453
366	1998	3446
367	2001	3437
368	2006	3430
369	2012	3426
370	2016	3418
371	2020	3410
372	2028	3409
373	2032	3402
374	2036	3393
375	2042	3389
376	2046	3381
377	2050	3373
378	2053	3365
379	2059	3360
380	2062	3351
381	2066	3343
382	2070	3335
383	2076	3331
384	2081	3324
385	2085	3317
386	2091	3312
387	2095	3304
388	2098	3296
389	2103	3289
390	2113	3291
391	2117	3284
392	2128	3288
393	2134	3282
394	2142	3281
395	2146	3273
396	2150	3265
397	2155	3260
398	2159	3252
399	2162	3244
400	2166	3236
401	2171	3230
402	2176	3223
403	2180	3216
404	2184	3209
405	2190	3204
406	2192	3194
407	2196	3186
408	2200	3179
409	2204	3172
410	2208	3165
411	2212	3157
412	2216	3150
413	2222	3146
414	2229	3142
415	2233	3135
416	2239	3130
